method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,0.5,20260210,True,0.03362000549952543,0.0,10001.685604453087,,9909,,,baseline_extrap_nn
baseline,0.5,20260211,True,0.03842112212218657,0.0,10635.1003870368,,10562,,,baseline_extrap_nn
baseline,0.5,20260212,True,0.017416257076240598,0.0,11912.18739002943,,12151,,,baseline_extrap_nn
baseline,0.5,20260213,True,0.02441603483164442,0.0,9075.067162513733,,10087,,,baseline_extrap_nn
baseline,0.5,20260214,True,0.03873637245016744,0.0,7636.158585548401,,8524,,,baseline_extrap_nn
baseline,0.5,20260215,True,0.023999134116521305,0.0,11490.29504135251,,11400,,,baseline_extrap_nn
baseline,0.5,20260216,True,0.039955161611599725,0.0,7653.081335127354,,8257,,,baseline_extrap_nn
baseline,0.5,20260217,True,0.034546858756519326,0.0,8403.957352042198,,8781,,,baseline_extrap_nn
baseline,0.5,20260218,True,0.03748483041755734,0.0,10287.440776824951,,10937,,,baseline_extrap_nn
baseline,0.5,20260219,True,0.027204727256839967,0.0,11262.00295239687,,11853,,,baseline_extrap_nn
baseline,0.5,20260220,True,0.026095935346373972,0.0,6788.242261856794,,8085,,,baseline_extrap_nn
baseline,0.5,20260221,True,0.04483730138504338,0.0,5593.125883489847,,7198,,,baseline_extrap_nn
baseline,0.5,20260222,True,0.02651464280450614,0.0,11460.536517202854,,11207,,,baseline_extrap_nn
baseline,0.5,20260223,True,0.01603518841295998,0.0,10430.177062749863,,10119,,,baseline_extrap_nn
baseline,0.5,20260224,True,0.035560320146723536,0.0,8256.694659590721,,9001,,,baseline_extrap_nn
baseline,0.5,20260225,True,0.0194896961826118,0.0,12156.70894831419,,12323,,,baseline_extrap_nn
baseline,0.5,20260226,True,0.013747287437946398,0.0,10204.946521669626,,10070,,,baseline_extrap_nn
baseline,0.5,20260227,True,0.006682866478245891,0.0,9352.03705355525,,10167,,,baseline_extrap_nn
baseline,0.5,20260228,True,0.014998486328266315,0.0,9765.2977257967,,10361,,,baseline_extrap_nn
baseline,0.5,20260229,True,0.04020356344897763,0.0,11725.929398089647,,11706,,,baseline_extrap_nn
baseline,1.0,20260210,True,0.05021529869504383,0.0,1741.2140555679798,,3131,,,baseline_extrap_nn
baseline,1.0,20260211,True,0.06143106006228362,0.0,10957.290880382061,,11168,,,baseline_extrap_nn
baseline,1.0,20260212,True,0.03907330644177492,0.0,4353.325020521879,,5814,,,baseline_extrap_nn
baseline,1.0,20260213,True,0.04659708967104132,0.0,3489.6831028163433,,4990,,,baseline_extrap_nn
baseline,1.0,20260214,True,0.050047901189799335,0.0,4908.970978111029,,6538,,,baseline_extrap_nn
baseline,1.0,20260215,True,0.0318978701184245,0.0,11243.93866583705,,11578,,,baseline_extrap_nn
baseline,1.0,20260216,True,0.08744434312338624,0.0,9954.95693013072,,9778,,,baseline_extrap_nn
baseline,1.0,20260217,True,0.06336117856650243,0.0,5597.929082810879,,7056,,,baseline_extrap_nn
baseline,1.0,20260218,True,0.05636303754164878,0.0,10013.232324272394,,10020,,,baseline_extrap_nn
baseline,1.0,20260219,True,0.05020978087543748,0.0,11212.798163294792,,10877,,,baseline_extrap_nn
baseline,1.0,20260220,True,0.03909733896165063,0.0,4483.749691396952,,5586,,,baseline_extrap_nn
baseline,1.0,20260221,True,0.08310386677783106,0.0,6232.8093610703945,,7021,,,baseline_extrap_nn
baseline,1.0,20260222,True,0.049395640592108866,0.0,8256.565015763044,,9304,,,baseline_extrap_nn
baseline,1.0,20260223,True,0.037971935604914506,0.0,6788.067501038313,,7736,,,baseline_extrap_nn
baseline,1.0,20260224,True,0.06517892705206682,0.0,3152.684725821018,,4737,,,baseline_extrap_nn
baseline,1.0,20260225,True,0.04903353810043363,0.0,5805.0789050757885,,6949,,,baseline_extrap_nn
baseline,1.0,20260226,True,0.028683507770289374,0.0,7171.426799148321,,7875,,,baseline_extrap_nn
baseline,1.0,20260227,True,0.0395368804970685,0.0,7618.790622800589,,8336,,,baseline_extrap_nn
baseline,1.0,20260228,True,0.03408401583848663,0.0,8369.033105671406,,8612,,,baseline_extrap_nn
baseline,1.0,20260229,True,0.058643126780415306,0.0,10436.243880540133,,10564,,,baseline_extrap_nn
baseline,1.5,20260210,True,0.07907054430143079,0.0,919.7248704731464,,1918,,,baseline_extrap_nn
baseline,1.5,20260211,True,0.08995073818139387,0.0,9251.762464642525,,9047,,,baseline_extrap_nn
baseline,1.5,20260212,True,0.06505207348902334,0.0,2154.1361398994923,,3912,,,baseline_extrap_nn
baseline,1.5,20260213,True,0.10283810507393615,0.0,1350.3131419420242,,2814,,,baseline_extrap_nn
baseline,1.5,20260214,True,0.06941222790224467,0.0,7608.485497534275,,8119,,,baseline_extrap_nn
baseline,1.5,20260215,True,0.05517272110805313,0.0,11226.98986157775,,11310,,,baseline_extrap_nn
baseline,1.5,20260216,True,0.13552503360827242,0.0,8939.131148159504,,9250,,,baseline_extrap_nn
baseline,1.5,20260217,True,0.09682746157214606,0.0,5759.111888706684,,7409,,,baseline_extrap_nn
baseline,1.5,20260218,True,0.08661965227047921,0.0,9919.118735939264,,9857,,,baseline_extrap_nn
baseline,1.5,20260219,True,0.07830929948867685,0.0,4539.608407765627,,5921,,,baseline_extrap_nn
baseline,1.5,20260220,True,0.06296511678225808,0.0,3234.574992209673,,4614,,,baseline_extrap_nn
baseline,1.5,20260221,True,0.1292730127598147,0.0,179.22405898571014,,533,,,baseline_extrap_nn
baseline,1.5,20260222,True,0.09311861339795235,0.0,9125.81629678607,,8775,,,baseline_extrap_nn
baseline,1.5,20260223,True,0.05715343646063138,0.0,4692.091468721628,,6233,,,baseline_extrap_nn
baseline,1.5,20260224,True,0.08335322004255852,0.0,3017.8238302469254,,4873,,,baseline_extrap_nn
baseline,1.5,20260225,True,0.08758331030022987,0.0,1225.4746295511723,,2468,,,baseline_extrap_nn
baseline,1.5,20260226,True,0.06383497076345766,0.0,9062.320318073034,,8499,,,baseline_extrap_nn
baseline,1.5,20260227,True,0.0769118931416813,0.0,7004.58300858736,,7523,,,baseline_extrap_nn
baseline,1.5,20260228,True,0.07433006796785598,0.0,4070.339076220989,,5480,,,baseline_extrap_nn
baseline,1.5,20260229,True,0.08768898717551864,0.0,6615.917216986418,,7979,,,baseline_extrap_nn
baseline,2.0,20260210,True,0.10808134496351321,0.0,8137.534264475107,,8118,,,baseline_extrap_nn
baseline,2.0,20260211,True,0.12044076844668437,0.0,8622.95126914978,,8824,,,baseline_extrap_nn
baseline,2.0,20260212,True,0.09156550822131909,0.0,2011.5759782493114,,3717,,,baseline_extrap_nn
baseline,2.0,20260213,True,0.11024450303836457,0.0,946.1014047265053,,2089,,,baseline_extrap_nn
baseline,2.0,20260214,True,0.09587630977814922,0.0,8106.291826814413,,8295,,,baseline_extrap_nn
baseline,2.0,20260215,True,0.07888433754193921,0.0,10925.140660256147,,11215,,,baseline_extrap_nn
baseline,2.0,20260216,False,0.19242780774903578,0.0,26.78864076733589,,62,,,baseline_extrap_nn
baseline,2.0,20260217,True,0.131614999226366,0.0,8396.978005766869,,8687,,,baseline_extrap_nn
baseline,2.0,20260218,True,0.12150322057880865,0.0,8427.74187028408,,8761,,,baseline_extrap_nn
baseline,2.0,20260219,True,0.10834950099097895,0.0,1523.6509256064892,,3016,,,baseline_extrap_nn
baseline,2.0,20260220,True,0.08358475994555731,0.0,3813.672259449959,,5335,,,baseline_extrap_nn
baseline,2.0,20260221,False,0.16906961278642493,0.0,43.05707663297653,,104,,,baseline_extrap_nn
baseline,2.0,20260222,True,0.13094620422460643,0.0,3025.0641144812107,,4819,,,baseline_extrap_nn
baseline,2.0,20260223,True,0.07842206664973213,0.0,6177.653435617685,,7249,,,baseline_extrap_nn
baseline,2.0,20260224,True,0.11227877545132904,0.0,6140.420563519001,,7380,,,baseline_extrap_nn
baseline,2.0,20260225,True,0.10902024745232089,0.0,2138.6565938591957,,3367,,,baseline_extrap_nn
baseline,2.0,20260226,True,0.08985720670897955,0.0,9103.26924547553,,8746,,,baseline_extrap_nn
baseline,2.0,20260227,True,0.10663195489321388,0.0,2855.0411947071552,,4580,,,baseline_extrap_nn
baseline,2.0,20260228,True,0.10047081660935739,0.0,3888.895872980356,,6103,,,baseline_extrap_nn
baseline,2.0,20260229,True,0.11911292607650317,0.0,9072.898108512163,,9126,,,baseline_extrap_nn
baseline,2.5,20260210,True,0.14623483516900626,0.0,7672.222718596458,,7794,,,baseline_extrap_nn
baseline,2.5,20260211,False,0.15307542401695098,0.0,7282.595809549093,,7500,,,baseline_extrap_nn
baseline,2.5,20260212,True,0.12439312158390599,0.0,4495.809406042099,,5362,,,baseline_extrap_nn
baseline,2.5,20260213,True,0.14089197059385755,0.0,2514.511287212372,,3819,,,baseline_extrap_nn
baseline,2.5,20260214,True,0.11969487497472059,0.0,4126.616585999727,,5798,,,baseline_extrap_nn
baseline,2.5,20260215,True,0.10501104544258119,0.0,10154.358446598053,,10442,,,baseline_extrap_nn
baseline,2.5,20260216,False,0.25266181489353284,0.0,8.964121341705322,,4,,,baseline_extrap_nn
baseline,2.5,20260217,False,0.28951172138981385,0.0,15.418179333209991,,25,,,baseline_extrap_nn
baseline,2.5,20260218,False,0.15519164635294178,0.0,116.39243364334106,,334,,,baseline_extrap_nn
baseline,2.5,20260219,True,0.13258526960891345,0.0,3097.81102091074,,4579,,,baseline_extrap_nn
baseline,2.5,20260220,True,0.10831509904096155,0.0,2880.9192776679993,,4974,,,baseline_extrap_nn
baseline,2.5,20260221,False,0.5635996944400908,0.0,14.963850378990173,,15,,,baseline_extrap_nn
baseline,2.5,20260222,False,0.16160370815241423,0.0,2632.349457591772,,4272,,,baseline_extrap_nn
baseline,2.5,20260223,True,0.10293527147321,0.0,8933.984439820051,,8387,,,baseline_extrap_nn
baseline,2.5,20260224,True,0.14027199052386694,0.0,8682.827550917864,,9007,,,baseline_extrap_nn
baseline,2.5,20260225,True,0.14556979489152794,0.0,1572.2893215715885,,3196,,,baseline_extrap_nn
baseline,2.5,20260226,True,0.12098659144635052,0.0,8708.790812641382,,8298,,,baseline_extrap_nn
