method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
asm,0.5,20260210,True,3.3650834702867686e-07,0.0,1085.5438750004396,0.5547721589682092,12920,0.6269112003952073,0.5547721589682092,asm_oracle_ls
asm,0.5,20260211,True,1.5373578467241994e-07,0.0,1342.822333012009,0.551186615458351,11688,0.6235008845771292,0.551186615458351,asm_oracle_ls
asm,0.5,20260212,True,2.2965537678891774e-07,0.0,1163.9034999825526,0.5576592635419403,12982,0.6291807006684959,0.5576592635419403,asm_oracle_ls
asm,0.5,20260213,True,4.0982526460368614e-07,0.0,1086.0199159942567,0.5579684127782861,12763,0.6299174955957294,0.5579684127782861,asm_oracle_ls
asm,0.5,20260214,True,1.9002109506138176e-07,0.0,1116.673999989871,0.5568044156118866,11721,0.6289408106158344,0.5568044156118866,asm_oracle_ls
asm,1.5,20260210,True,3.359309885015467e-07,0.0,1105.1015419943724,0.553015640577325,12241,0.6250579472065843,0.553015640577325,asm_oracle_ls
asm,1.5,20260211,True,3.435999360736312e-07,0.0,1117.759833985474,0.5522856417973986,7710,0.6242086748184151,0.5522856417973986,asm_oracle_ls
asm,1.5,20260212,True,2.791037534089541e-07,0.0,1150.2574160113,0.5580856132409887,12172,0.6296515144661353,0.5580856132409887,asm_oracle_ls
asm,1.5,20260213,True,3.860725170812061e-07,0.0,1129.6330419718288,0.5569360714136171,11953,0.6288916361663582,0.5569360714136171,asm_oracle_ls
asm,1.5,20260214,True,1.668421562524655e-07,0.0,1119.660374999512,0.5593173795326316,10123,0.6313829510171388,0.5593173795326316,asm_oracle_ls
asm,2.5,20260210,True,3.4697809500421804e-07,0.0,1157.9072500171605,0.5534529037528073,11427,0.6256658381304754,0.5534529037528073,asm_oracle_ls
asm,2.5,20260211,True,8.358483504360496e-07,0.0,1108.6023340176325,0.5513908761507414,4972,0.6242879454140909,0.5513908761507414,asm_oracle_ls
asm,2.5,20260212,True,3.154340358435922e-07,0.0,1097.9139579867478,0.5582138145061409,11065,0.6295188224627685,0.5582138145061409,asm_oracle_ls
asm,2.5,20260213,True,3.4179726640894384e-07,0.0,1154.9126659811009,0.5573562725398773,11502,0.6291811829165946,0.5573562725398773,asm_oracle_ls
asm,2.5,20260214,True,2.436136441679375e-07,0.0,1092.3129169968888,0.5612800379034185,8463,0.6330943347789966,0.5612800379034185,asm_oracle_ls
asm,3.5,20260210,True,3.655380036865173e-07,0.0,1107.058791007148,0.5526925870798134,9060,0.6252102967430226,0.5526925870798134,asm_oracle_ls
asm,3.5,20260211,True,2.303867597573077e-06,0.0,1368.3892500121146,0.5515170795541152,3140,0.6247678109606906,0.5515170795541152,asm_oracle_ls
