method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,0.5,20260210,True,0.034592233093771685,0.0,6683.634765446186,,9838,,,baseline_extrap_nn_gpu
baseline,0.5,20260211,True,0.03846301538278506,0.0,3707.3216568678617,,10524,,,baseline_extrap_nn_gpu
baseline,0.5,20260212,True,0.016951690053955946,0.0,3659.1869108378887,,10150,,,baseline_extrap_nn_gpu
baseline,0.5,20260213,True,0.02439185296625648,0.0,3313.8008434325457,,10061,,,baseline_extrap_nn_gpu
baseline,0.5,20260214,True,0.03895615638606938,0.0,2922.8182584047318,,8175,,,baseline_extrap_nn_gpu
baseline,0.5,20260215,True,0.025264534001132235,0.0,3819.3285325542092,,11505,,,baseline_extrap_nn_gpu
baseline,0.5,20260216,True,0.03924528813201092,0.0,3081.8256083875895,,8074,,,baseline_extrap_nn_gpu
baseline,0.5,20260217,True,0.033962843990517126,0.0,3433.9292170479894,,8618,,,baseline_extrap_nn_gpu
baseline,0.5,20260218,True,0.03659360448591272,0.0,3203.22157908231,,8845,,,baseline_extrap_nn_gpu
baseline,0.5,20260219,True,0.02766253357973599,0.0,3960.888121277094,,12136,,,baseline_extrap_nn_gpu
baseline,0.5,20260220,True,0.026214422016033034,0.0,2772.0662858337164,,7980,,,baseline_extrap_nn_gpu
baseline,0.5,20260221,True,0.044931389868912555,0.0,2622.039712034166,,7268,,,baseline_extrap_nn_gpu
baseline,0.5,20260222,True,0.026585188470762525,0.0,3896.0484750568867,,11172,,,baseline_extrap_nn_gpu
baseline,0.5,20260223,True,0.016036739729831745,0.0,5516.706641763449,,9928,,,baseline_extrap_nn_gpu
baseline,0.5,20260224,True,0.03524932309432748,0.0,3187.8700805827975,,8835,,,baseline_extrap_nn_gpu
baseline,0.5,20260225,True,0.019702885371076107,0.0,3901.7393589019775,,12247,,,baseline_extrap_nn_gpu
baseline,0.5,20260226,True,0.013760854853410658,0.0,4635.172978043556,,9936,,,baseline_extrap_nn_gpu
baseline,0.5,20260227,True,0.00665859242842955,0.0,3403.072508983314,,10145,,,baseline_extrap_nn_gpu
baseline,0.5,20260228,True,0.015132106811503872,0.0,3456.8681064993143,,10292,,,baseline_extrap_nn_gpu
baseline,0.5,20260229,True,0.035982928538636584,0.0,4656.521903350949,,12526,,,baseline_extrap_nn_gpu
baseline,1.0,20260210,True,0.04840609199403072,0.0,1079.8542443662882,,2716,,,baseline_extrap_nn_gpu
baseline,1.0,20260211,True,0.06333873967240625,0.0,3636.7648178711534,,8862,,,baseline_extrap_nn_gpu
baseline,1.0,20260212,True,0.04241018655402577,0.0,2111.339334398508,,5123,,,baseline_extrap_nn_gpu
baseline,1.0,20260213,True,0.05061826318019512,0.0,2462.131341919303,,6595,,,baseline_extrap_nn_gpu
baseline,1.0,20260214,True,0.05052562568515057,0.0,2297.9865316301584,,6426,,,baseline_extrap_nn_gpu
baseline,1.0,20260215,True,0.03199626050962441,0.0,3839.8825339972973,,11651,,,baseline_extrap_nn_gpu
baseline,1.0,20260216,True,0.08888764899541597,0.0,3044.273203238845,,8176,,,baseline_extrap_nn_gpu
baseline,1.0,20260217,True,0.06279894575647776,0.0,2955.522076226771,,7708,,,baseline_extrap_nn_gpu
baseline,1.0,20260218,True,0.06289329762193409,0.0,2129.3105678632855,,5876,,,baseline_extrap_nn_gpu
baseline,1.0,20260219,True,0.05076793167349712,0.0,3879.4027250260115,,10108,,,baseline_extrap_nn_gpu
baseline,1.0,20260220,True,0.03949310267614955,0.0,1935.8677547425032,,4948,,,baseline_extrap_nn_gpu
baseline,1.0,20260221,True,0.08259886257354437,0.0,2767.9144591093063,,6895,,,baseline_extrap_nn_gpu
baseline,1.0,20260222,True,0.04942575230166749,0.0,3132.458752952516,,9248,,,baseline_extrap_nn_gpu
baseline,1.0,20260223,True,0.03842223054183689,0.0,2908.7285716086626,,7713,,,baseline_extrap_nn_gpu
