method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
asm,0.5,20260210,True,0.03478720889018339,0.0,15366.182196885347,40.00162124633789,8653,43.01803207397461,40.00162124633789,asm_icp_gpu
asm,0.5,20260211,True,0.03885845050117753,0.0,11596.409182995558,39.83153533935547,6864,42.97581100463867,39.83153533935547,asm_icp_gpu
asm,0.5,20260212,True,0.01713135538284494,0.0,12098.52346405387,40.51771545410156,8123,43.55714416503906,40.51771545410156,asm_icp_gpu
asm,0.5,20260213,True,0.023551482146723018,0.0,12274.630987085402,34.26222229003906,10110,37.402503967285156,34.26222229003906,asm_icp_gpu
asm,0.5,20260214,True,0.0373629864785659,0.0,10816.738477908075,39.59135818481445,5375,42.759239196777344,39.59135818481445,asm_icp_gpu
asm,1.5,20260210,True,0.08113039887651866,0.0,9109.46977790445,34.07930374145508,3177,37.50468444824219,34.07930374145508,asm_icp_gpu
asm,1.5,20260211,True,0.09083534725532368,0.0,7684.52712520957,43.983638763427734,3861,46.820068359375,43.983638763427734,asm_icp_gpu
asm,1.5,20260212,True,0.06553353658874232,0.0,9609.196425415576,36.67377853393555,3630,40.017539978027344,36.67377853393555,asm_icp_gpu
asm,1.5,20260213,True,0.09407276389918334,0.0,10938.208191655576,27.031789779663086,4411,30.743318557739258,27.031789779663086,asm_icp_gpu
asm,1.5,20260214,True,0.07031916847888886,0.0,8962.64117024839,40.89641571044922,4116,43.96434783935547,40.89641571044922,asm_icp_gpu
asm,2.5,20260210,True,0.14833484620757187,0.0,10369.258919730783,42.2159538269043,4820,45.17013168334961,42.2159538269043,asm_icp_gpu
asm,2.5,20260211,False,0.1523587551892159,0.0,5886.758823879063,45.23637008666992,2732,47.94363021850586,45.23637008666992,asm_icp_gpu
asm,2.5,20260212,True,0.1253349012939367,0.0,9868.07749606669,39.118343353271484,3782,42.3155403137207,39.118343353271484,asm_icp_gpu
asm,2.5,20260213,True,0.13654120355798718,0.0,9145.082680508494,35.43453598022461,4163,38.73094940185547,35.43453598022461,asm_icp_gpu
asm,2.5,20260214,True,0.11979007213876579,0.0,9214.353353716433,42.880733489990234,4044,45.77300262451172,42.880733489990234,asm_icp_gpu
