method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,0.5,20260210,True,0.034592233093771685,0.0,7483.873656950891,,9838,,,baseline_extrap_nn_gpu
baseline,0.5,20260211,True,0.03846301538278506,0.0,3748.822521418333,,10524,,,baseline_extrap_nn_gpu
baseline,0.5,20260212,True,0.016951690053955946,0.0,3636.3435545936227,,10150,,,baseline_extrap_nn_gpu
baseline,0.5,20260213,True,0.02439185296625648,0.0,3325.2769643440843,,10061,,,baseline_extrap_nn_gpu
baseline,0.5,20260214,True,0.03895615638606938,0.0,2820.877317339182,,8175,,,baseline_extrap_nn_gpu
baseline,1.5,20260210,True,0.0820875791003865,0.0,855.0154911354184,,1900,,,baseline_extrap_nn_gpu
baseline,1.5,20260211,True,0.09056759427375474,0.0,2872.180131264031,,7229,,,baseline_extrap_nn_gpu
baseline,1.5,20260212,True,0.06598605907148286,0.0,1653.7079624831676,,4259,,,baseline_extrap_nn_gpu
baseline,1.5,20260213,True,0.09609622314957982,0.0,3022.515272721648,,6506,,,baseline_extrap_nn_gpu
baseline,1.5,20260214,True,0.07061672363118308,0.0,2322.626125998795,,6420,,,baseline_extrap_nn_gpu
baseline,2.5,20260210,True,0.14639872794793357,0.0,2808.447684161365,,6820,,,baseline_extrap_nn_gpu
baseline,2.5,20260211,False,0.1542455645065055,0.0,2841.7935986071825,,5949,,,baseline_extrap_nn_gpu
baseline,2.5,20260212,True,0.12434450044735393,0.0,2741.417894139886,,5414,,,baseline_extrap_nn_gpu
baseline,2.5,20260213,True,0.137320371445883,0.0,1588.3438624441624,,3714,,,baseline_extrap_nn_gpu
baseline,2.5,20260214,True,0.11963738141362493,0.0,3718.3005698025227,,8704,,,baseline_extrap_nn_gpu
baseline,3.5,20260210,False,0.20245586560181164,0.0,3786.381813697517,,8552,,,baseline_extrap_nn_gpu
baseline,3.5,20260211,False,0.21133569375680777,0.0,44.647159054875374,,57,,,baseline_extrap_nn_gpu
baseline,3.5,20260212,False,0.1742933854603888,0.0,2171.833610162139,,4582,,,baseline_extrap_nn_gpu
baseline,3.5,20260213,False,0.19273644863585107,0.0,4119.1843673586845,,11122,,,baseline_extrap_nn_gpu
baseline,3.5,20260214,False,0.16616915413957925,0.0,58.61596204340458,,77,,,baseline_extrap_nn_gpu
baseline,4.5,20260210,False,0.26415140105139595,0.0,4362.881381995976,,7892,,,baseline_extrap_nn_gpu
