method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,0.5,20260210,True,0.034592233093771685,0.0,6476.133030839264,,9838,,,baseline_extrap_nn_gpu
baseline,0.5,20260211,True,0.03846301538278506,0.0,4487.146127037704,,10524,,,baseline_extrap_nn_gpu
baseline,0.5,20260212,True,0.016951690053955946,0.0,3444.913899526,,10150,,,baseline_extrap_nn_gpu
baseline,1.5,20260210,True,0.0820875791003865,0.0,802.6092788204551,,1900,,,baseline_extrap_nn_gpu
baseline,1.5,20260211,True,0.09056759427375474,0.0,2626.0498920455575,,7229,,,baseline_extrap_nn_gpu
baseline,1.5,20260212,True,0.06598605907148286,0.0,1543.1158607825637,,4259,,,baseline_extrap_nn_gpu
baseline,2.5,20260210,True,0.14639872794793357,0.0,2594.2886164411902,,6820,,,baseline_extrap_nn_gpu
baseline,2.5,20260211,False,0.1542455645065055,0.0,2996.0610326379538,,5949,,,baseline_extrap_nn_gpu
baseline,2.5,20260212,True,0.12434450044735393,0.0,2374.505551531911,,5414,,,baseline_extrap_nn_gpu
baseline,3.5,20260210,False,0.20245586560181164,0.0,3603.379084728658,,8552,,,baseline_extrap_nn_gpu
baseline,3.5,20260211,False,0.21133569375680777,0.0,78.58021277934313,,57,,,baseline_extrap_nn_gpu
baseline,3.5,20260212,False,0.1742933854603888,0.0,1852.3749513551593,,4582,,,baseline_extrap_nn_gpu
baseline,4.5,20260210,False,0.26415140105139595,0.0,3439.2828568816185,,7892,,,baseline_extrap_nn_gpu
baseline,4.5,20260211,False,0.31144022178371944,0.0,5.38334995508194,,4,,,baseline_extrap_nn_gpu
baseline,4.5,20260212,False,0.2269921977621569,0.0,1615.9663628786802,,4203,,,baseline_extrap_nn_gpu
baseline,5.5,20260210,False,0.30951610358191917,0.0,5.3915660828351974,,4,,,baseline_extrap_nn_gpu
baseline,5.5,20260211,False,0.3758836182234592,0.0,7.380560040473938,,5,,,baseline_extrap_nn_gpu
baseline,5.5,20260212,False,0.27902243820111017,0.0,1511.1326910555363,,3853,,,baseline_extrap_nn_gpu
baseline,6.5,20260210,False,0.4192610886862684,0.0,10.584559291601181,,12,,,baseline_extrap_nn_gpu
baseline,6.5,20260211,False,0.37205603556887146,0.0,5.7321274653077126,,6,,,baseline_extrap_nn_gpu
baseline,6.5,20260212,False,0.33764047624842114,0.0,104.23644445836544,,198,,,baseline_extrap_nn_gpu
baseline,7.5,20260210,False,0.4257843882587536,0.0,5.211527459323406,,4,,,baseline_extrap_nn_gpu
baseline,7.5,20260211,False,0.4926016575806015,0.0,5.24191465228796,,4,,,baseline_extrap_nn_gpu
baseline,7.5,20260212,False,0.38388385875051234,0.0,23.021765984594822,,32,,,baseline_extrap_nn_gpu
baseline,8.5,20260210,False,0.6062339612068834,0.0,6.510857492685318,,5,,,baseline_extrap_nn_gpu
baseline,8.5,20260211,False,0.5524359052337114,0.0,5.237322300672531,,4,,,baseline_extrap_nn_gpu
baseline,8.5,20260212,False,0.4448194626400852,0.0,8.571529760956764,,9,,,baseline_extrap_nn_gpu
baseline,9.5,20260210,False,0.5638189347498221,0.0,5.483484826982021,,5,,,baseline_extrap_nn_gpu
baseline,9.5,20260211,False,0.59030475986547,0.0,10.648756287992,,11,,,baseline_extrap_nn_gpu
baseline,9.5,20260212,False,0.44377271813271985,0.0,21.637787111103535,,8,,,baseline_extrap_nn_gpu
baseline,10.5,20260210,False,0.6016702236173038,0.0,13.950260356068611,,4,,,baseline_extrap_nn_gpu
baseline,10.5,20260211,False,0.6731444627557941,0.0,20.56742273271084,,6,,,baseline_extrap_nn_gpu
baseline,10.5,20260212,False,0.5002963672397162,0.0,8.165416307747364,,6,,,baseline_extrap_nn_gpu
baseline,11.5,20260210,False,0.660136628359388,0.0,5.201861262321472,,4,,,baseline_extrap_nn_gpu
baseline,11.5,20260211,False,0.7258442448626568,0.0,5.71382325142622,,6,,,baseline_extrap_nn_gpu
baseline,11.5,20260212,False,0.5661929174923104,0.0,13.298096135258675,,11,,,baseline_extrap_nn_gpu
