method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,0.5,20260210,True,0.03411466247216872,0.0,5462.870167015353,,9608,,,baseline_extrap_nn
baseline,0.5,20260211,True,0.0382754453270596,0.0,6860.375124990242,,11221,,,baseline_extrap_nn
baseline,0.5,20260212,True,0.017017669645965267,0.0,7404.52470901073,,12253,,,baseline_extrap_nn
baseline,0.5,20260213,True,0.02531974282396748,0.0,5755.00533398008,,10213,,,baseline_extrap_nn
baseline,0.5,20260214,True,0.038305417207352865,0.0,4953.407749999315,,8476,,,baseline_extrap_nn
baseline,1.5,20260210,True,0.0779083174167572,0.0,570.7366669957992,,2090,,,baseline_extrap_nn
baseline,1.5,20260211,True,0.0890231592149699,0.0,5637.545250006951,,9109,,,baseline_extrap_nn
baseline,1.5,20260212,True,0.06521170402388461,0.0,1541.5859579807147,,4355,,,baseline_extrap_nn
baseline,1.5,20260213,True,0.09354058202584134,0.0,4991.25758302398,,7550,,,baseline_extrap_nn
baseline,1.5,20260214,True,0.07121394890971468,0.0,2495.595999993384,,6391,,,baseline_extrap_nn
baseline,2.5,20260210,True,0.14628446082857596,0.0,4598.827374982648,,7748,,,baseline_extrap_nn
baseline,2.5,20260211,False,0.17413271063750405,0.0,11.653499997919425,,34,,,baseline_extrap_nn
baseline,2.5,20260212,True,0.12318037373240326,0.0,3011.217374994885,,5302,,,baseline_extrap_nn
baseline,2.5,20260213,True,0.13872373405662777,0.0,1411.7395000066608,,3716,,,baseline_extrap_nn
baseline,2.5,20260214,True,0.12032300794965341,0.0,5306.732833007118,,8272,,,baseline_extrap_nn
baseline,3.5,20260210,False,0.20466279297842216,0.0,5342.302917008055,,8461,,,baseline_extrap_nn
baseline,3.5,20260211,False,0.8075621944337367,0.0,8.555624983273447,,9,,,baseline_extrap_nn
baseline,3.5,20260212,False,0.17540477095167983,0.0,1646.7131660028826,,4350,,,baseline_extrap_nn
baseline,3.5,20260213,False,0.1908107956531273,0.0,6533.748292014934,,10171,,,baseline_extrap_nn
baseline,3.5,20260214,False,0.16259687273266019,0.0,41.31024997332133,,81,,,baseline_extrap_nn
baseline,4.5,20260210,False,0.26009460730261647,0.0,4760.442500002682,,7946,,,baseline_extrap_nn
baseline,4.5,20260211,False,0.3130339910858928,0.0,6.912042008480057,,4,,,baseline_extrap_nn
baseline,4.5,20260212,False,0.2268523433302856,0.0,1711.3661670009606,,4412,,,baseline_extrap_nn
baseline,4.5,20260213,False,0.25221012055238157,0.0,5672.124124976108,,8815,,,baseline_extrap_nn
baseline,4.5,20260214,False,0.2598219845741726,0.0,15.41266601998359,,51,,,baseline_extrap_nn
baseline,5.5,20260210,False,0.3534081320355735,0.0,27.51895901747048,,122,,,baseline_extrap_nn
baseline,5.5,20260211,False,0.3721726383799164,0.0,12.627624993911013,,4,,,baseline_extrap_nn
baseline,5.5,20260212,False,0.27943863385915646,0.0,1346.5662089874968,,3673,,,baseline_extrap_nn
baseline,5.5,20260213,False,0.3088659006133016,0.0,2025.8082500076853,,4678,,,baseline_extrap_nn
baseline,5.5,20260214,False,0.4698452616063118,0.0,10.162332997424528,,16,,,baseline_extrap_nn
baseline,6.5,20260210,False,0.3764443210442718,0.0,11.45391698810272,,22,,,baseline_extrap_nn
baseline,6.5,20260211,False,7.288299975130981,0.0,6.696458003716543,,6,,,baseline_extrap_nn
baseline,6.5,20260212,False,0.3328913940306623,0.0,59.719250013586134,,272,,,baseline_extrap_nn
baseline,6.5,20260213,False,0.36768841655835605,0.0,531.9915830041282,,2105,,,baseline_extrap_nn
baseline,6.5,20260214,False,1.5166930615937675,0.0,7.806292007444426,,7,,,baseline_extrap_nn
baseline,7.5,20260210,False,0.425687286056227,0.0,8.038750005653128,,4,,,baseline_extrap_nn
baseline,7.5,20260211,False,0.49346064120856703,0.0,6.988042005104944,,4,,,baseline_extrap_nn
baseline,7.5,20260212,False,0.364769384053131,0.0,20.30712499981746,,64,,,baseline_extrap_nn
baseline,7.5,20260213,False,0.42242109447841414,0.0,21.702750003896654,,105,,,baseline_extrap_nn
baseline,7.5,20260214,False,2.1801741689661163,0.0,9.17570901219733,,11,,,baseline_extrap_nn
baseline,8.5,20260210,False,7.20319887342876,0.0,8.24504200136289,,5,,,baseline_extrap_nn
baseline,8.5,20260211,False,0.5543100522395631,0.0,7.642999989911914,,4,,,baseline_extrap_nn
baseline,8.5,20260212,False,2.357890496084935,0.0,9.286999993491918,,10,,,baseline_extrap_nn
baseline,8.5,20260213,False,0.4834801864078734,0.0,50.10529200080782,,243,,,baseline_extrap_nn
baseline,8.5,20260214,False,0.9755043078250027,0.0,8.66595801198855,,11,,,baseline_extrap_nn
baseline,9.5,20260210,False,8.88490215969769,0.0,6.850208010291681,,5,,,baseline_extrap_nn
baseline,9.5,20260211,False,1.1499796426810103,0.0,7.762833993183449,,11,,,baseline_extrap_nn
baseline,9.5,20260212,False,1.1769652833709046,0.0,8.10783400083892,,6,,,baseline_extrap_nn
baseline,9.5,20260213,False,0.5047256871459724,0.0,7.63358297990635,,4,,,baseline_extrap_nn
baseline,9.5,20260214,False,9.924792134547495,0.0,6.839666981250048,,6,,,baseline_extrap_nn
baseline,10.5,20260210,False,0.6011443388384866,0.0,6.90237499657087,,4,,,baseline_extrap_nn
baseline,10.5,20260211,False,1.8353836008626438,0.0,6.686332984827459,,6,,,baseline_extrap_nn
baseline,10.5,20260212,False,1.575254018226896,0.0,7.172999990871176,,6,,,baseline_extrap_nn
baseline,10.5,20260213,False,1.6488483283950104,0.0,7.65566699556075,,9,,,baseline_extrap_nn
baseline,10.5,20260214,False,0.5135822886413675,0.0,6.957208999665454,,8,,,baseline_extrap_nn
baseline,11.5,20260210,False,0.658388701363113,0.0,6.4580829930491745,,4,,,baseline_extrap_nn
baseline,11.5,20260211,False,1.624022392749802,0.0,7.069083978421986,,6,,,baseline_extrap_nn
baseline,11.5,20260212,False,0.4738400848394714,0.0,9.333333990070969,,14,,,baseline_extrap_nn
baseline,11.5,20260213,False,0.590029532428778,0.0,7.1377920103259385,,8,,,baseline_extrap_nn
baseline,11.5,20260214,False,0.5531745977258485,0.0,7.537208002759144,,6,,,baseline_extrap_nn
baseline,12.5,20260210,False,11.190544954043464,0.0,7.101874973159283,,5,,,baseline_extrap_nn
baseline,12.5,20260211,False,0.795803902265825,0.0,6.751250009983778,,4,,,baseline_extrap_nn
baseline,12.5,20260212,False,16.63877406095553,0.0,7.922749995486811,,6,,,baseline_extrap_nn
baseline,12.5,20260213,False,0.9203815093975809,0.0,7.607125007780269,,8,,,baseline_extrap_nn
baseline,12.5,20260214,False,8.905948323460576,0.0,7.022666017292067,,5,,,baseline_extrap_nn
baseline,13.5,20260210,False,12.531291303433362,0.0,6.940332998055965,,5,,,baseline_extrap_nn
baseline,13.5,20260211,False,0.8578863192796375,0.0,7.151875004637986,,4,,,baseline_extrap_nn
baseline,13.5,20260212,False,0.6576634147301835,0.0,7.613208988914266,,8,,,baseline_extrap_nn
baseline,13.5,20260213,False,0.7360835348684029,0.0,7.151875004637986,,4,,,baseline_extrap_nn
baseline,13.5,20260214,False,0.6686616109791661,0.0,7.231958006741479,,4,,,baseline_extrap_nn
baseline,14.5,20260210,False,0.8384635070133623,0.0,7.1576669870410115,,4,,,baseline_extrap_nn
baseline,14.5,20260211,False,0.9182000035594322,0.0,6.747750012436882,,4,,,baseline_extrap_nn
baseline,14.5,20260212,False,0.7212426189788441,0.0,7.364666991634294,,8,,,baseline_extrap_nn
baseline,14.5,20260213,False,4.592269700367559,0.0,8.019916014745831,,6,,,baseline_extrap_nn
baseline,14.5,20260214,False,0.7196674894491646,0.0,6.875999999465421,,4,,,baseline_extrap_nn
baseline,15.5,20260210,False,0.8963715222319515,0.0,7.03583299764432,,4,,,baseline_extrap_nn
baseline,15.5,20260211,False,0.9785534814561802,0.0,6.625917012570426,,4,,,baseline_extrap_nn
baseline,15.5,20260212,False,0.75084674828547,0.0,9.585874999174848,,4,,,baseline_extrap_nn
baseline,15.5,20260213,False,1.747907459633294,0.0,7.7007079962641,,6,,,baseline_extrap_nn
baseline,15.5,20260214,False,0.7707516326102261,0.0,6.412499991711229,,4,,,baseline_extrap_nn
baseline,16.5,20260210,False,0.9543183106595503,0.0,7.163292000768706,,4,,,baseline_extrap_nn
baseline,16.5,20260211,False,1.0389398179911937,0.0,7.045624981401488,,4,,,baseline_extrap_nn
baseline,16.5,20260212,False,0.8015840102334697,0.0,6.423915998311713,,4,,,baseline_extrap_nn
baseline,16.5,20260213,False,0.9059979153264613,0.0,6.796290981583297,,4,,,baseline_extrap_nn
baseline,16.5,20260214,False,15.699899919668423,0.0,7.667582976864651,,5,,,baseline_extrap_nn
baseline,17.5,20260210,False,1.012297213849848,0.0,7.695875014178455,,4,,,baseline_extrap_nn
baseline,17.5,20260211,False,1.0993535985065188,0.0,6.757249997463077,,4,,,baseline_extrap_nn
baseline,17.5,20260212,False,11.547061958857729,0.0,6.940292019862682,,5,,,baseline_extrap_nn
baseline,17.5,20260213,False,10.840569954410492,0.0,7.751208991976455,,7,,,baseline_extrap_nn
baseline,17.5,20260214,False,12.392725478676994,0.0,6.973125011427328,,5,,,baseline_extrap_nn
baseline,18.5,20260210,False,1.070303012792463,0.0,7.0654590090271086,,4,,,baseline_extrap_nn
baseline,18.5,20260211,False,1.159790534318582,0.0,6.701042002532631,,4,,,baseline_extrap_nn
baseline,18.5,20260212,False,1.4817674503186105,0.0,6.374709017109126,,4,,,baseline_extrap_nn
baseline,18.5,20260213,False,7.566658056530777,0.0,7.607541978359222,,6,,,baseline_extrap_nn
baseline,18.5,20260214,False,0.913008397745521,0.0,7.2471250023227185,,4,,,baseline_extrap_nn
