pv_level,baseline_sr,asm_sr,baseline_rmse,asm_rmse
0.5,1.0,1.0,0.03060658749530274,2.639491736310165e-07
1.5,1.0,1.0,0.07937954231823352,3.0230987026356067e-07
2.5,0.8,1.0,0.13212789414181506,4.167342783721482e-07
3.5,0.0,1.0,,7.657872852173731e-07
4.5,0.0,1.0,,8.606876932825853e-07
5.5,0.0,1.0,,7.842876238081988e-07
6.5,0.0,1.0,,4.066507727973257e-06
7.5,0.0,1.0,,1.2102554720610638e-05
8.5,0.0,1.0,,3.364782317623334e-05
9.5,0.0,1.0,,6.618615436184247e-05
10.5,0.0,1.0,,0.00011572082520793845
11.5,0.0,1.0,,0.0002169417023747797
12.5,0.0,1.0,,0.00034907088439706523
13.5,0.0,1.0,,0.0006945132154742176
14.5,0.0,1.0,,0.0010665926235800913
15.5,0.0,1.0,,0.0025736802193199898
16.5,0.0,1.0,,0.004338222986681269
17.5,0.0,1.0,,0.007033796315655855
18.5,0.0,1.0,,0.010358094450888426
19.5,0.0,1.0,,0.016062392791867913
20.5,0.0,1.0,,0.018971985190591328
21.5,0.0,1.0,,0.02769317748938301
22.5,0.0,1.0,,0.038005070246912326
23.5,0.0,1.0,,0.05279657084549799
24.5,0.0,0.6,,0.007095744397728288
25.5,0.0,0.6,,0.007824570008611033
26.5,0.0,0.6,,0.011102291911753631
27.5,0.0,0.6,,0.013984194899518269
28.5,0.0,0.6,,0.019905745132379932
29.5,0.0,0.6,,0.0292003509937018
