combo,max_match_dist_factor,min_match_ratio,allow_forward_fallback,n_starts,n_icp_iter,lambda_reg,trim_ratio,sr_overall,rmse_overall,rmse_success_only,dr_probe,sr_pv_0_5,sr_pv_1_5,sr_pv_2_5,sr_pv_3_5,sr_pv_4_5
c04,0.7,0.05,True,80,40,0.001,0.9,0.5,0.15073717979517004,0.07867151254298277,1.5,1.0,1.0,0.5,0.0,0.0
c05,0.7,0.05,False,80,40,0.001,0.9,0.5,0.15073717979517004,0.07867151254298277,1.5,1.0,1.0,0.5,0.0,0.0
c08,1.0,0.05,True,80,40,0.001,0.9,0.5,0.1507248994750404,0.07876978703581476,1.5,1.0,1.0,0.5,0.0,0.0
c09,1.0,0.05,False,80,40,0.001,0.9,0.5,0.1507248994750404,0.07876978703581476,1.5,1.0,1.0,0.5,0.0,0.0
c00,0.5,0.05,True,80,40,0.001,0.9,0.5,0.24130402734495532,0.07881541996362458,1.5,1.0,1.0,0.5,0.0,0.0
c01,0.5,0.05,False,80,40,0.001,0.9,0.5,0.24130402734495532,0.07881541996362458,1.5,1.0,1.0,0.5,0.0,0.0
c10,1.0,0.02,True,80,40,0.001,0.9,0.4,0.27027826779954417,0.08992284255771701,0.0,0.5,1.0,0.5,0.0,0.0
c11,1.0,0.02,False,80,40,0.001,0.9,0.4,0.27027826779954417,0.08992284255771701,0.0,0.5,1.0,0.5,0.0,0.0
c02,0.5,0.02,True,80,40,0.001,0.9,0.2,0.9172250500636754,0.060046559701927904,0.0,0.5,0.5,0.0,0.0,0.0
c03,0.5,0.02,False,80,40,0.001,0.9,0.2,0.9172250500636754,0.060046559701927904,0.0,0.5,0.5,0.0,0.0,0.0
c06,0.7,0.02,True,80,40,0.001,0.9,0.2,0.4869155476132191,0.06530708002662133,0.0,0.5,0.5,0.0,0.0,0.0
c07,0.7,0.02,False,80,40,0.001,0.9,0.2,0.4869155476132191,0.06530708002662133,0.0,0.5,0.5,0.0,0.0,0.0
