method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,2.0,20260210,True,0.10759996388210481,0.0,5530.844916997012,,8413,,,baseline_extrap_nn
baseline,2.0,20260211,True,0.12165596481040299,0.0,4903.249708004296,,8044,,,baseline_extrap_nn
baseline,2.0,20260212,True,0.09404064689769304,0.0,1649.045958998613,,3759,,,baseline_extrap_nn
baseline,2.0,20260213,True,0.11118995613935466,0.0,675.7268749934155,,2148,,,baseline_extrap_nn
baseline,2.0,20260214,True,0.09643950824040408,0.0,3479.9257080012467,,7028,,,baseline_extrap_nn
baseline,2.0,20260215,True,0.08517387482446398,0.0,6848.284333012998,,9997,,,baseline_extrap_nn
baseline,2.0,20260216,False,0.18819787171501845,0.0,16.07187499757856,,61,,,baseline_extrap_nn
baseline,2.0,20260217,True,0.13099525411107527,0.0,4872.368791984627,,8743,,,baseline_extrap_nn
baseline,2.0,20260218,True,0.12041442183864433,0.0,4972.333041980164,,8735,,,baseline_extrap_nn
baseline,2.0,20260219,True,0.10902935835464077,0.0,1204.2702500184532,,3593,,,baseline_extrap_nn
baseline,2.0,20260220,True,0.08387891238248572,0.0,2296.9316669914406,,5223,,,baseline_extrap_nn
baseline,2.0,20260221,False,0.16661282933408342,0.0,24.012957990635186,,106,,,baseline_extrap_nn
baseline,2.0,20260222,True,0.1298204185461007,0.0,2424.558541009901,,5632,,,baseline_extrap_nn
baseline,2.0,20260223,True,0.08071197397419605,0.0,1989.8957080149557,,5417,,,baseline_extrap_nn
baseline,2.0,20260224,True,0.11157940026351713,0.0,2850.8927499933634,,6797,,,baseline_extrap_nn
baseline,2.0,20260225,True,0.10994373987089866,0.0,1380.355375004001,,3349,,,baseline_extrap_nn
baseline,2.0,20260226,True,0.09019340548273988,0.0,5672.460707981372,,8815,,,baseline_extrap_nn
baseline,2.0,20260227,True,0.10270281285518168,0.0,2395.4650000086986,,5661,,,baseline_extrap_nn
baseline,2.0,20260228,True,0.10030540393002789,0.0,2343.4380830149166,,6223,,,baseline_extrap_nn
baseline,2.0,20260229,True,0.11922047078239238,0.0,5681.49554199772,,9208,,,baseline_extrap_nn
baseline,2.0,20260210,True,0.11381318292425036,0.1,4534.488999983296,,7582,,,baseline_extrap_nn
baseline,2.0,20260211,True,0.12550439342684191,0.1,82.96741600497626,,507,,,baseline_extrap_nn
baseline,2.0,20260212,True,0.09660428006227022,0.1,1049.368083011359,,3518,,,baseline_extrap_nn
baseline,2.0,20260213,True,0.11858856916752131,0.1,575.9879580000415,,2221,,,baseline_extrap_nn
baseline,2.0,20260214,True,0.09645138439661302,0.1,4138.873959018383,,7523,,,baseline_extrap_nn
baseline,2.0,20260215,True,0.08073765103598192,0.1,7306.023042008746,,10702,,,baseline_extrap_nn
baseline,2.0,20260216,False,0.18859758906100743,0.1,16.269999992800876,,60,,,baseline_extrap_nn
baseline,2.0,20260217,True,0.13157996413808515,0.1,4858.880583022255,,8119,,,baseline_extrap_nn
baseline,2.0,20260218,True,0.12263591963550517,0.1,3158.9332919975277,,6765,,,baseline_extrap_nn
baseline,2.0,20260219,True,0.10793892916087673,0.1,1325.7743750000373,,3529,,,baseline_extrap_nn
baseline,2.0,20260220,True,0.08455059317522746,0.1,1292.8670829860494,,4187,,,baseline_extrap_nn
baseline,2.0,20260221,False,0.16366852311736588,0.1,27.738125005271286,,104,,,baseline_extrap_nn
baseline,2.0,20260222,True,0.1281607374636229,0.1,2671.6902909975033,,5653,,,baseline_extrap_nn
baseline,2.0,20260223,True,0.08336715626565509,0.1,3965.0082500011194,,6803,,,baseline_extrap_nn
baseline,2.0,20260224,True,0.10833878985393192,0.1,9050.159333011834,,8401,,,baseline_extrap_nn
baseline,2.0,20260225,True,0.1064043475705637,0.1,2370.7855000102427,,3460,,,baseline_extrap_nn
baseline,2.0,20260226,True,0.09225949678883291,0.1,7846.250165981473,,7279,,,baseline_extrap_nn
baseline,2.0,20260227,True,0.10846995303334518,0.1,4831.28883302561,,5556,,,baseline_extrap_nn
baseline,2.0,20260228,True,0.10004524405342932,0.1,5441.515208018245,,6272,,,baseline_extrap_nn
baseline,2.0,20260229,True,0.11886337722512147,0.1,4151.530500006629,,5122,,,baseline_extrap_nn
baseline,2.0,20260210,True,0.1135137998177759,0.3,5355.627999990247,,5550,,,baseline_extrap_nn
baseline,2.0,20260211,True,0.12111333048970141,0.3,389.11566699971445,,951,,,baseline_extrap_nn
baseline,2.0,20260212,True,0.0994436993278064,0.3,2779.349166987231,,3609,,,baseline_extrap_nn
