method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
baseline,2.0,20260210,True,0.10829092260029881,0.0,6018.630846403539,,8222,,,baseline_extrap_nn_gpu
baseline,2.0,20260211,True,0.12225603340781972,0.0,3204.852122813463,,6716,,,baseline_extrap_nn_gpu
baseline,2.0,20260212,True,0.0941306341385741,0.0,1281.1057874932885,,3593,,,baseline_extrap_nn_gpu
baseline,2.0,20260213,True,0.11120896211567356,0.0,798.3173942193389,,2110,,,baseline_extrap_nn_gpu
baseline,2.0,20260214,True,0.09675104598300724,0.0,2609.537241049111,,6854,,,baseline_extrap_nn_gpu
baseline,2.0,20260210,True,0.11217849331820039,0.1,3542.5402214750648,,7581,,,baseline_extrap_nn_gpu
baseline,2.0,20260211,True,0.12165871801747466,0.1,2998.7232936546206,,6425,,,baseline_extrap_nn_gpu
baseline,2.0,20260212,True,0.09871961722742878,0.1,1494.5504115894437,,3398,,,baseline_extrap_nn_gpu
baseline,2.0,20260213,True,0.11495288900893585,0.1,801.3924891129136,,2070,,,baseline_extrap_nn_gpu
baseline,2.0,20260214,True,0.09678372153174797,0.1,4023.6475728452206,,6689,,,baseline_extrap_nn_gpu
baseline,2.0,20260210,True,0.11319400509132753,0.3,2655.8410972356796,,5821,,,baseline_extrap_nn_gpu
baseline,2.0,20260211,True,0.13207815219685629,0.3,184.65618696063757,,345,,,baseline_extrap_nn_gpu
baseline,2.0,20260212,True,0.09889396996715255,0.3,1156.9634303450584,,3069,,,baseline_extrap_nn_gpu
baseline,2.0,20260213,True,0.11270312177765518,0.3,523.8966094329953,,1545,,,baseline_extrap_nn_gpu
baseline,2.0,20260214,True,0.09882760714246688,0.3,2530.12502938509,,5697,,,baseline_extrap_nn_gpu
baseline,2.0,20260210,True,0.115315495968928,0.5,949.7084310278296,,2416,,,baseline_extrap_nn_gpu
baseline,2.0,20260211,False,0.23355784420473066,0.5,32.580552622675896,,22,,,baseline_extrap_nn_gpu
baseline,2.0,20260212,True,0.1008812923782945,0.5,1678.0096292495728,,2625,,,baseline_extrap_nn_gpu
baseline,2.0,20260213,True,0.11041743964088427,0.5,773.215084336698,,1504,,,baseline_extrap_nn_gpu
baseline,2.0,20260214,True,0.09688276325874845,0.5,2330.808060243726,,4336,,,baseline_extrap_nn_gpu
baseline,5.0,20260210,False,0.2939600106669092,0.0,3155.0457002595067,,6383,,,baseline_extrap_nn_gpu
baseline,5.0,20260211,False,0.30277743523839656,0.0,7.359309121966362,,8,,,baseline_extrap_nn_gpu
baseline,5.0,20260212,False,0.25203464334091297,0.0,1591.8969055637717,,4101,,,baseline_extrap_nn_gpu
baseline,5.0,20260213,False,0.28431410953125247,0.0,2329.490600153804,,5366,,,baseline_extrap_nn_gpu
baseline,5.0,20260214,False,0.2623260489619101,0.0,31.896826811134815,,41,,,baseline_extrap_nn_gpu
baseline,5.0,20260210,False,0.2892452733826972,0.1,451.61623042076826,,1121,,,baseline_extrap_nn_gpu
baseline,5.0,20260211,False,0.30277743523839656,0.1,7.706104777753353,,8,,,baseline_extrap_nn_gpu
baseline,5.0,20260212,False,0.25274184866612637,0.1,1560.567570850253,,3692,,,baseline_extrap_nn_gpu
baseline,5.0,20260213,False,0.28242258357224836,0.1,1516.8740171939135,,3505,,,baseline_extrap_nn_gpu
baseline,5.0,20260214,False,0.2794591914523578,0.1,22.602390497922897,,30,,,baseline_extrap_nn_gpu
baseline,5.0,20260210,False,0.3088874989005873,0.3,159.94750149548054,,316,,,baseline_extrap_nn_gpu
baseline,5.0,20260211,False,0.3118691014504409,0.3,7.35875777900219,,7,,,baseline_extrap_nn_gpu
baseline,5.0,20260212,False,0.25090834049406413,0.3,1030.94513528049,,2599,,,baseline_extrap_nn_gpu
baseline,5.0,20260213,False,0.28216500455644344,0.3,832.3204284533858,,2155,,,baseline_extrap_nn_gpu
baseline,5.0,20260214,False,0.2377735912470195,0.3,7.579337805509567,,9,,,baseline_extrap_nn_gpu
baseline,5.0,20260210,False,0.32122470469148573,0.5,63.28970938920975,,109,,,baseline_extrap_nn_gpu
baseline,5.0,20260211,False,0.3118691014504409,0.5,8.055022917687893,,7,,,baseline_extrap_nn_gpu
baseline,5.0,20260212,False,0.25204565282071756,0.5,1021.3082479313016,,2181,,,baseline_extrap_nn_gpu
baseline,5.0,20260213,False,0.2880544766080288,0.5,585.6986260041595,,1322,,,baseline_extrap_nn_gpu
baseline,5.0,20260214,False,0.2377735912470195,0.5,7.8298840671777725,,9,,,baseline_extrap_nn_gpu
baseline,8.0,20260210,False,0.4547804801029702,0.0,5.5145202204585075,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260211,False,0.4903090363170914,0.0,5.010749213397503,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260212,False,0.3751562349614332,0.0,9.143644943833351,,13,,,baseline_extrap_nn_gpu
baseline,8.0,20260213,False,0.4518459253653831,0.0,73.40145111083984,,124,,,baseline_extrap_nn_gpu
baseline,8.0,20260214,False,0.4062658102233269,0.0,5.179828032851219,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260210,False,0.4547804801029702,0.1,5.0450274720788,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260211,False,0.4903090363170914,0.1,5.083275958895683,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260212,False,0.3751562349614332,0.1,8.985800668597221,,13,,,baseline_extrap_nn_gpu
baseline,8.0,20260213,False,0.43308730736037493,0.1,28.75563595443964,,37,,,baseline_extrap_nn_gpu
baseline,8.0,20260214,False,0.41110390484257603,0.1,11.320313438773155,,9,,,baseline_extrap_nn_gpu
baseline,8.0,20260210,False,0.4547804801029702,0.3,5.218084901571274,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260211,False,0.4903090363170914,0.3,5.164837464690208,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260212,False,0.4022943433687885,0.3,7.632347755134106,,8,,,baseline_extrap_nn_gpu
baseline,8.0,20260213,False,0.4318912936227587,0.3,65.06949011236429,,85,,,baseline_extrap_nn_gpu
baseline,8.0,20260214,False,0.41110390484257603,0.3,11.057289317250252,,9,,,baseline_extrap_nn_gpu
baseline,8.0,20260210,False,0.4547804801029702,0.5,5.67630585283041,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260211,False,0.4903090363170914,0.5,5.072723142802715,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260212,False,0.376049048272067,0.5,5.829988978803158,,4,,,baseline_extrap_nn_gpu
baseline,8.0,20260213,False,0.4393508253459751,0.5,28.556713834404945,,31,,,baseline_extrap_nn_gpu
baseline,8.0,20260214,False,0.39962269915538534,0.5,7.257990539073944,,5,,,baseline_extrap_nn_gpu
baseline,10.0,20260210,False,0.5724697354359499,0.0,5.248574540019035,,4,,,baseline_extrap_nn_gpu
baseline,10.0,20260211,False,0.642364961220033,0.0,6.48308452218771,,6,,,baseline_extrap_nn_gpu
baseline,10.0,20260212,False,0.47202181375928626,0.0,10.014910250902176,,11,,,baseline_extrap_nn_gpu
baseline,10.0,20260213,False,0.552010196290632,0.0,17.034112475812435,,20,,,baseline_extrap_nn_gpu
baseline,10.0,20260214,False,0.47243362208656264,0.0,5.227372981607914,,5,,,baseline_extrap_nn_gpu
baseline,10.0,20260210,False,0.5724697354359499,0.1,4.859287291765213,,4,,,baseline_extrap_nn_gpu
baseline,10.0,20260211,False,0.642364961220033,0.1,6.246887147426605,,6,,,baseline_extrap_nn_gpu
baseline,10.0,20260212,False,0.47048891299255,0.1,8.817553520202637,,9,,,baseline_extrap_nn_gpu
baseline,10.0,20260213,False,0.6443739021456842,0.1,9.87051147967577,,11,,,baseline_extrap_nn_gpu
baseline,10.0,20260214,False,0.47243362208656264,0.1,5.401690490543842,,5,,,baseline_extrap_nn_gpu
baseline,10.0,20260210,False,0.5724697354359499,0.3,4.752118140459061,,4,,,baseline_extrap_nn_gpu
baseline,10.0,20260211,False,1.078418033062708,0.3,4.753256216645241,,4,,,baseline_extrap_nn_gpu
baseline,10.0,20260212,False,0.47048891299255,0.3,8.676010183990002,,9,,,baseline_extrap_nn_gpu
baseline,10.0,20260213,False,0.6209460790542553,0.3,9.869656525552273,,10,,,baseline_extrap_nn_gpu
baseline,10.0,20260214,False,0.47243362208656264,0.3,5.1919566467404366,,5,,,baseline_extrap_nn_gpu
baseline,10.0,20260210,False,0.5724697354359499,0.5,4.781235940754414,,4,,,baseline_extrap_nn_gpu
baseline,10.0,20260211,False,0.6411511244944161,0.5,5.788280628621578,,4,,,baseline_extrap_nn_gpu
baseline,10.0,20260212,False,0.47048891299255,0.5,9.053986519575119,,9,,,baseline_extrap_nn_gpu
baseline,10.0,20260213,False,0.6209460790542553,0.5,10.405282489955425,,10,,,baseline_extrap_nn_gpu
baseline,10.0,20260214,False,0.47243362208656264,0.5,5.7339174672961235,,5,,,baseline_extrap_nn_gpu
