method,pv_level,seed,success,rmse,runtime_ms,solver,n_observed,pso_converged,pso_n_iter,pso_dH
baseline,0.5,900000,True,0.0009806327626526563,124.63596556335688,baseline_nn,361,,,
baseline,0.5,900001,True,0.0008750393776134667,124.716741964221,baseline_nn,361,,,
baseline,0.5,900002,True,0.0006735090844685487,122.43538163602352,baseline_nn,361,,,
baseline,0.5,900003,True,0.002157602493126552,130.49708120524883,baseline_nn,361,,,
baseline,0.5,900004,True,0.0007852911705917011,123.53007029742002,baseline_nn,361,,,
baseline,1.0,900000,True,0.000980632762652706,123.9542318508029,baseline_nn,361,,,
baseline,1.0,900001,True,0.0008750393776132862,123.96349292248487,baseline_nn,361,,,
baseline,1.0,900002,True,0.0006735090844683945,129.98682539910078,baseline_nn,361,,,
baseline,1.0,900003,True,0.0021576024931261374,123.760468326509,baseline_nn,361,,,
baseline,1.0,900004,True,0.0007852911705914482,124.75043255835772,baseline_nn,361,,,
baseline,2.0,900000,True,0.0009803456948922454,126.65143702179193,baseline_nn,361,,,
baseline,2.0,900001,True,0.0009449980929119535,131.87765143811703,baseline_nn,361,,,
baseline,2.0,900002,True,0.0006735090844687249,124.69709571450949,baseline_nn,361,,,
baseline,2.0,900003,True,0.0021576024931261556,123.9988412708044,baseline_nn,361,,,
baseline,2.0,900004,True,0.000781721481779853,130.24139776825905,baseline_nn,361,,,
baseline,3.0,900000,True,0.0012424106441815343,129.9456339329481,baseline_nn,361,,,
baseline,3.0,900001,True,0.0008819447487991186,125.66387746483088,baseline_nn,361,,,
baseline,3.0,900002,True,0.0006259179579464279,124.07407257705927,baseline_nn,361,,,
baseline,3.0,900003,True,0.0019889858150961954,135.1384585723281,baseline_nn,361,,,
baseline,3.0,900004,True,0.0007334720935156008,124.33696910738945,baseline_nn,361,,,
baseline,5.0,900000,True,0.033147184449947804,123.22799488902092,baseline_nn,361,,,
baseline,5.0,900001,True,0.0012074259406602006,123.20836074650288,baseline_nn,361,,,
baseline,5.0,900002,True,0.0013798049562088071,131.77944906055927,baseline_nn,361,,,
baseline,5.0,900003,True,0.019754317260646793,122.99731094390154,baseline_nn,361,,,
baseline,5.0,900004,True,0.013603726825764712,123.86754620820284,baseline_nn,361,,,
baseline,7.0,900000,True,0.014004292090936132,128.91092151403427,baseline_nn,361,,,
baseline,7.0,900001,True,0.008668334796315706,124.24538750201464,baseline_nn,361,,,
baseline,7.0,900002,True,0.022004398004588904,145.41558735072613,baseline_nn,361,,,
baseline,7.0,900003,True,0.01726286562844287,132.11691193282604,baseline_nn,361,,,
baseline,7.0,900004,True,0.058698066924635924,125.59399101883173,baseline_nn,361,,,
baseline,10.0,900000,True,0.005151505874766023,144.44791246205568,baseline_nn,361,,,
baseline,10.0,900001,True,0.00864806040775629,128.23572102934122,baseline_nn,361,,,
baseline,10.0,900002,True,0.05193720559224666,127.24221870303154,baseline_nn,361,,,
baseline,10.0,900003,True,0.014041432043144543,138.2729345932603,baseline_nn,361,,,
baseline,10.0,900004,True,0.024862877818592692,126.5960605815053,baseline_nn,361,,,
