method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
baseline,0.5,20260210,True,0.01930164094936441,0.0,16676.48868635297,,29732,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,0.5,20260211,True,0.03729054803104073,0.0,11972.755048424006,,29729,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,0.5,20260212,True,0.02135977991194134,0.0,11827.644330449402,,29732,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,1.5,20260210,True,0.04347059312024081,0.0,11948.71473312378,,29724,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,1.5,20260211,True,0.08522101031529726,0.0,11782.842173241079,,29691,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,1.5,20260212,True,0.043749063889946725,0.0,11867.054890841246,,29724,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,2.5,20260210,True,0.04549446416689208,0.0,11859.664454124868,,29715,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,2.5,20260211,False,0.1629188986036302,0.0,11805.545412935317,,29428,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,2.5,20260212,True,0.08507030066100213,0.0,11769.661667756736,,29533,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,0.5,20260210,True,0.026020374176109543,0.0,15535.697809420526,,29732,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,0.5,20260211,True,0.03510067705340881,0.0,11720.44710163027,,29656,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,0.5,20260212,True,0.015927120209150804,0.0,11777.018368244171,,29732,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,1.5,20260210,True,0.03340846401060766,0.0,11645.169542171061,,29732,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,1.5,20260211,True,0.10512643069066614,0.0,11929.914314299822,,29562,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,1.5,20260212,True,0.04153334066423493,0.0,11570.926629006863,,29732,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,2.5,20260210,True,0.11680692992230046,0.0,11731.81685153395,,29458,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,2.5,20260211,False,0.18807043202754017,0.0,11872.54180945456,,29725,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,2.5,20260212,True,0.09933500406551408,0.0,12252.441276796162,,29521,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,0.5,20260210,True,0.023909591002078307,0.0,15491.873832419515,,29730,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,0.5,20260211,True,0.033842756004240096,0.0,11722.402217797935,,29634,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,0.5,20260212,True,0.013966858007879479,0.0,11797.987848520279,,29731,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,1.5,20260210,True,0.02729668606021649,0.0,11454.832759685814,,29715,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,1.5,20260211,True,0.09775133532814353,0.0,12724.355314858258,,29428,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,1.5,20260212,True,0.051042180116725906,0.0,11525.240746326745,,29533,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,2.5,20260210,True,0.12968433568056145,0.0,11615.19929394126,,29157,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,2.5,20260211,False,0.21064607242810676,0.0,11996.312416158617,,29505,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,2.5,20260212,True,0.10595072503496047,0.0,11979.101439006627,,29416,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,0.5,20260210,True,0.02022254954212042,0.0,15816.54377002269,,29730,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,0.5,20260211,True,0.029555561695407333,0.0,12087.814707309008,,29658,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,0.5,20260212,True,0.01501869027781743,0.0,12052.018993534148,,29732,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,1.5,20260210,True,0.061233066926012,0.0,11992.669714614749,,29355,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,1.5,20260211,True,0.10351144659014141,0.0,12030.041137710214,,29724,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,1.5,20260212,True,0.058229972933313896,0.0,11835.511769168079,,29660,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,2.5,20260210,True,0.1306453113132546,0.0,11750.260307453573,,28971,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,2.5,20260211,False,0.19725868852937398,0.0,11685.194461606443,,29732,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,2.5,20260212,True,0.1094073689227366,0.0,11593.45049969852,,29403,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,0.5,20260210,True,0.016254739930093635,0.0,15518.405050970614,,29715,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,0.5,20260211,True,0.031230025263544646,0.0,11807.711927220225,,29679,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,0.5,20260212,True,0.015408108216807244,0.0,12010.518395341933,,29717,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,1.5,20260210,True,0.07360056697279199,0.0,13304.96802739799,,29307,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,1.5,20260211,True,0.12440372198939544,0.0,12002.00321432203,,29729,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,1.5,20260212,True,0.06293985867848848,0.0,11875.273956917226,,29526,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,2.5,20260210,True,0.12799237264555977,0.0,11869.739633984864,,29241,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,2.5,20260211,False,0.18665916866161428,0.0,12535.846433602273,,29732,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,2.5,20260212,True,0.11423744437714438,0.0,11550.670327618718,,28748,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,0.5,20260210,True,0.0127873833290944,0.0,16376.181879080832,,29732,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,0.5,20260211,True,0.029514682750083752,0.0,11731.664422899485,,29602,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,0.5,20260212,True,0.014219093711228382,0.0,11721.2491678074,,29727,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,1.5,20260210,True,0.07838718882320704,0.0,11683.336329646409,,28971,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,1.5,20260211,True,0.11835521051036929,0.0,11840.692242607474,,29732,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,1.5,20260212,True,0.06564442286983621,0.0,11794.689592905343,,29403,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,2.5,20260210,True,0.13151737542985192,0.0,11843.020820058882,,28922,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,2.5,20260211,False,0.17506933758777765,0.0,11842.096206732094,,29113,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,2.5,20260212,True,0.11708288646241,0.0,11861.328000202775,,29130,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,0.5,20260210,True,0.011136153914975248,0.0,15737.382256425917,,29732,,,baseline_extrap_nn_gpu,100.0,12.0
baseline,0.5,20260211,True,0.03504214343489312,0.0,11809.984222054482,,29562,,,baseline_extrap_nn_gpu,100.0,12.0
baseline,0.5,20260212,True,0.013844447369658886,0.0,11676.742565818131,,29732,,,baseline_extrap_nn_gpu,100.0,12.0
baseline,1.5,20260210,True,0.07478751303044068,0.0,11987.83241212368,,29262,,,baseline_extrap_nn_gpu,100.0,12.0
