method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
asm,5.0,20260210,True,3.5410041485763896e-07,0.0,5619.75347623229,0.5577220320701599,25667,0.6294402480125427,0.5577220320701599,asm_oracle_ls_gpu,100.0,3.0
asm,5.0,20260211,True,7.955171270486511e-07,0.0,5171.032413840294,0.5583438277244568,11178,0.6299061179161072,0.5583438277244568,asm_oracle_ls_gpu,100.0,3.0
asm,5.0,20260212,True,3.8254084816467976e-07,0.0,5230.990745127201,0.5534178614616394,24896,0.6253355145454407,0.5534178614616394,asm_oracle_ls_gpu,100.0,3.0
asm,5.0,20260210,True,2.669512306569183e-07,0.0,5219.915714114904,0.5579978227615356,21219,0.6299335360527039,0.5579978227615356,asm_oracle_ls_gpu,100.0,4.0
asm,5.0,20260211,True,1.386306890645272e-06,0.0,5224.6520556509495,0.5596102476119995,7581,0.6313127279281616,0.5596102476119995,asm_oracle_ls_gpu,100.0,4.0
asm,5.0,20260212,True,3.433506513557681e-07,0.0,5229.318778961897,0.5536985993385315,20535,0.6258141994476318,0.5536985993385315,asm_oracle_ls_gpu,100.0,4.0
asm,5.0,20260210,True,5.131306497020887e-07,0.0,5197.35736772418,0.5566534996032715,17409,0.6286439299583435,0.5566534996032715,asm_oracle_ls_gpu,100.0,5.0
asm,5.0,20260211,True,1.0086546289981452e-06,0.0,5203.303944319487,0.5615670680999756,5360,0.6334942579269409,0.5615670680999756,asm_oracle_ls_gpu,100.0,5.0
asm,5.0,20260212,True,3.5755370007946143e-07,0.0,5206.227846443653,0.5524661540985107,17086,0.624722421169281,0.5524661540985107,asm_oracle_ls_gpu,100.0,5.0
asm,5.0,20260210,True,5.661502055407585e-07,0.0,5150.716371834278,0.5575463175773621,14496,0.6290251016616821,0.5575463175773621,asm_oracle_ls_gpu,100.0,6.0
asm,5.0,20260211,True,3.943525248605481e-06,0.0,5197.453808039427,0.5636009573936462,3846,0.635201632976532,0.5636009573936462,asm_oracle_ls_gpu,100.0,6.0
asm,5.0,20260212,True,3.3477529699543113e-07,0.0,5145.274046808481,0.553815484046936,14572,0.6262153387069702,0.553815484046936,asm_oracle_ls_gpu,100.0,6.0
asm,5.0,20260210,True,4.3302902623242867e-07,0.0,5195.758789777756,0.5578863620758057,9896,0.6293092966079712,0.5578863620758057,asm_oracle_ls_gpu,100.0,8.0
asm,5.0,20260211,True,2.0909607781283512e-05,0.0,5264.056973159313,0.5554290413856506,2074,0.6285866498947144,0.5554290413856506,asm_oracle_ls_gpu,100.0,8.0
asm,5.0,20260212,True,3.482817423092127e-07,0.0,5228.932835161686,0.5545716285705566,11067,0.6278343796730042,0.5545716285705566,asm_oracle_ls_gpu,100.0,8.0
