method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
baseline,5.0,20260210,False,0.2606306957321086,0.0,57044.841926544905,,28958,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,5.0,20260211,False,0.39451737507731194,0.0,52300.30469223857,,29732,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,5.0,20260212,False,0.22205891427971985,0.0,51726.24962776899,,29127,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,5.0,20260210,False,0.2567692033721446,0.0,57096.24834358692,,29266,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,5.0,20260211,False,0.37331833402963166,0.0,52318.96610930562,,29732,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,5.0,20260212,False,0.22886475052830835,0.0,51031.22625127435,,28650,,,baseline_extrap_nn_gpu,100.0,4.0
baseline,5.0,20260210,False,0.2620910911722132,0.0,56254.899486899376,,29064,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,5.0,20260211,False,0.35013867183845,0.0,50796.73958942294,,29113,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,5.0,20260212,False,0.23467526093580893,0.0,51254.86320257187,,29168,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,5.0,20260210,False,0.2807484795209779,0.0,56935.704693198204,,29480,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,5.0,20260211,False,0.34527613524093365,0.0,51542.40274056792,,29436,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,5.0,20260212,False,0.23483318398641734,0.0,52302.744045853615,,29732,,,baseline_extrap_nn_gpu,100.0,6.0
baseline,5.0,20260210,False,0.2835716889117883,0.0,54884.779531508684,,28649,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,5.0,20260211,False,0.4015093021400387,0.0,5.247708410024643,,4,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,5.0,20260212,False,0.23224045061603124,0.0,52148.11576157808,,29732,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,5.0,20260210,False,0.2835093201836807,0.0,57320.11053338647,,29732,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,5.0,20260211,False,0.32710297589707726,0.0,52231.522627174854,,29732,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,5.0,20260212,False,0.23405958771102162,0.0,50963.400200009346,,29235,,,baseline_extrap_nn_gpu,100.0,10.0
baseline,5.0,20260210,False,0.2862908225394088,0.0,57380.65645098686,,29732,,,baseline_extrap_nn_gpu,100.0,12.0
baseline,5.0,20260211,False,0.3222148648846382,0.0,52142.60734245181,,29732,,,baseline_extrap_nn_gpu,100.0,12.0
baseline,5.0,20260212,False,0.23665738021349192,0.0,51773.64217117429,,29574,,,baseline_extrap_nn_gpu,100.0,12.0
baseline,5.0,20260210,False,0.266694831720585,0.0,25645.155008882284,,17144,,,baseline_extrap_nn_gpu,120.0,3.0
baseline,5.0,20260211,False,0.3632264482342377,0.0,21120.30555680394,,17970,,,baseline_extrap_nn_gpu,120.0,3.0
baseline,5.0,20260212,False,0.22192448425242972,0.0,23697.369571775198,,18992,,,baseline_extrap_nn_gpu,120.0,3.0
baseline,5.0,20260210,False,0.2608344471038714,0.0,26781.36108070612,,18857,,,baseline_extrap_nn_gpu,120.0,4.0
baseline,5.0,20260211,False,0.350724722996679,0.0,19528.827868402004,,16944,,,baseline_extrap_nn_gpu,120.0,4.0
baseline,5.0,20260212,False,0.23023201580358013,0.0,23271.898716688156,,18958,,,baseline_extrap_nn_gpu,120.0,4.0
baseline,5.0,20260210,False,0.26425808503218917,0.0,26394.67814192176,,18728,,,baseline_extrap_nn_gpu,120.0,5.0
baseline,5.0,20260211,False,0.38071714314088584,0.0,34.76341441273689,,178,,,baseline_extrap_nn_gpu,120.0,5.0
baseline,5.0,20260212,False,0.23894185020101666,0.0,23116.632219403982,,19187,,,baseline_extrap_nn_gpu,120.0,5.0
baseline,5.0,20260210,False,0.2790938164729373,0.0,25102.61270403862,,18098,,,baseline_extrap_nn_gpu,120.0,6.0
baseline,5.0,20260211,False,0.5056655399200497,0.0,13.662360608577728,,72,,,baseline_extrap_nn_gpu,120.0,6.0
baseline,5.0,20260212,False,0.24119571276225382,0.0,22837.65310421586,,18957,,,baseline_extrap_nn_gpu,120.0,6.0
baseline,5.0,20260210,False,0.38571089378175344,0.0,3643.3862894773483,,20,,,baseline_extrap_nn_gpu,120.0,8.0
baseline,5.0,20260211,False,0.4136146070602772,0.0,3.964889794588089,,4,,,baseline_extrap_nn_gpu,120.0,8.0
baseline,5.0,20260212,False,0.23277605024580084,0.0,21874.531481415033,,18528,,,baseline_extrap_nn_gpu,120.0,8.0
baseline,5.0,20260210,False,0.2861750580394723,0.0,3593.013994395733,,4,,,baseline_extrap_nn_gpu,120.0,10.0
