pitch_um,focal_mm,baseline_sr,baseline_rmse,asm_sr,asm_rmse,delta_sr,rmse_gain
100.0,3.0,0.0,,1.0,5.1071946335699e-07,1.0,
100.0,4.0,0.0,,1.0,6.655362575526528e-07,1.0,
100.0,5.0,0.0,,1.0,6.264463262598984e-07,1.0,
100.0,6.0,0.0,,1.0,1.6148169170472236e-06,1.0,
100.0,8.0,0.0,,1.0,7.23030618327505e-06,1.0,
100.0,10.0,0.0,,1.0,5.186173901385657e-05,1.0,
100.0,12.0,0.0,,1.0,5.0327607894670055e-05,1.0,
120.0,3.0,0.0,,1.0,5.111661784766746e-07,1.0,
120.0,4.0,0.0,,1.0,5.460236366813779e-07,1.0,
120.0,5.0,0.0,,1.0,7.828878603167232e-07,1.0,
120.0,6.0,0.0,,1.0,7.190651024264633e-07,1.0,
120.0,8.0,0.0,,1.0,1.3379924771493798e-05,1.0,
120.0,10.0,0.0,,1.0,3.59024261571495e-05,1.0,
120.0,12.0,0.0,,1.0,1.1965599080222001e-05,1.0,
150.0,3.0,0.0,,1.0,1.0131420558869384e-06,1.0,
150.0,4.0,0.0,,1.0,1.219604141718067e-06,1.0,
150.0,5.0,0.0,,1.0,1.688445747822844e-06,1.0,
150.0,6.0,0.0,,1.0,1.6479623924103204e-06,1.0,
150.0,8.0,0.0,,1.0,9.339274222170885e-06,1.0,
150.0,10.0,0.0,,1.0,1.2653450338099359e-05,1.0,
150.0,12.0,0.0,,1.0,8.008994183918001e-05,1.0,
180.0,3.0,0.0,,1.0,8.980324916741495e-07,1.0,
180.0,4.0,0.0,,1.0,1.5442491119485297e-06,1.0,
180.0,5.0,0.0,,1.0,3.1321698215880225e-06,1.0,
180.0,6.0,0.0,,1.0,1.8781814082573347e-06,1.0,
180.0,8.0,0.0,,1.0,1.0552510230042051e-05,1.0,
180.0,10.0,0.0,,1.0,6.0562618764478004e-05,1.0,
180.0,12.0,0.0,,1.0,0.00014461582266973297,1.0,
200.0,3.0,0.0,,1.0,9.871140949044522e-07,1.0,
200.0,4.0,0.0,,1.0,1.0713465576782009e-06,1.0,
200.0,5.0,0.0,,1.0,1.7060265665182811e-06,1.0,
200.0,6.0,0.0,,1.0,1.7685145141144577e-06,1.0,
200.0,8.0,0.0,,1.0,1.0317493014714246e-05,1.0,
200.0,10.0,0.0,,1.0,6.077286827556563e-05,1.0,
200.0,12.0,0.0,,1.0,0.0001292518461908271,1.0,
250.0,3.0,0.0,,1.0,1.0191228978162796e-06,1.0,
250.0,4.0,0.0,,1.0,8.641257432998092e-07,1.0,
250.0,5.0,0.0,,1.0,1.5141140327353033e-06,1.0,
250.0,6.0,0.0,,1.0,2.1769799973945118e-06,1.0,
250.0,8.0,0.0,,1.0,2.047279035815351e-05,1.0,
250.0,10.0,0.0,,1.0,5.5571784534854806e-05,1.0,
250.0,12.0,0.0,,1.0,0.00018743405864875634,1.0,
300.0,3.0,0.0,,1.0,1.4823728003214789e-06,1.0,
300.0,4.0,0.0,,1.0,1.4758804712499286e-06,1.0,
300.0,5.0,0.0,,1.0,2.6711528325820907e-06,1.0,
300.0,6.0,0.0,,1.0,5.166750177409303e-06,1.0,
300.0,8.0,0.0,,1.0,2.9390096028547532e-05,1.0,
300.0,10.0,0.0,,1.0,9.306113669502327e-05,1.0,
300.0,12.0,0.0,,1.0,0.0002839862488092959,1.0,
