method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
baseline,0.5,20260210,True,0.01930164094936441,0.0,15583.273166790605,,29732,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,0.5,20260211,True,0.03729054803104073,0.0,10902.453117072582,,29729,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,1.5,20260210,True,0.04347059312024081,0.0,11046.448917128146,,29724,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,1.5,20260211,True,0.08522101031529726,0.0,10825.798782519996,,29691,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,2.5,20260210,True,0.04549446416689208,0.0,11071.272287517786,,29715,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,2.5,20260211,False,0.1629188986036302,0.0,11094.049721956253,,29428,,,baseline_extrap_nn_gpu,100.0,3.0
baseline,0.5,20260210,True,0.023909591002078307,0.0,14721.155242994428,,29730,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,0.5,20260211,True,0.033842756004240096,0.0,11086.768788285553,,29634,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,1.5,20260210,True,0.02729668606021649,0.0,11059.64482948184,,29715,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,1.5,20260211,True,0.09775133532814353,0.0,11127.203055657446,,29428,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,2.5,20260210,True,0.12968433568056145,0.0,11002.863325178623,,29157,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,2.5,20260211,False,0.21064607242810676,0.0,10915.827092714608,,29505,,,baseline_extrap_nn_gpu,100.0,5.0
baseline,0.5,20260210,True,0.016254739930093635,0.0,14542.40059480071,,29715,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,0.5,20260211,True,0.031230025263544646,0.0,11022.131847217679,,29679,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,1.5,20260210,True,0.07360056697279199,0.0,11028.302948921919,,29307,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,1.5,20260211,True,0.12440372198939544,0.0,11003.103653900325,,29729,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,2.5,20260210,True,0.12799237264555977,0.0,10782.213229686022,,29241,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,2.5,20260211,False,0.18665916866161428,0.0,10837.205573916435,,29732,,,baseline_extrap_nn_gpu,100.0,8.0
baseline,0.5,20260210,True,0.01728714669696887,0.0,5458.377383649349,,13019,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,0.5,20260211,True,0.03966091588391314,0.0,3733.7544467300177,,12115,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,1.5,20260210,True,0.07606065747500775,0.0,2572.8869419544935,,6568,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,1.5,20260211,True,0.09553515015995474,0.0,3706.877250224352,,10000,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,2.5,20260210,True,0.09739535334946585,0.0,369.87086199223995,,856,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,2.5,20260211,True,0.14050360898294983,0.0,3773.6960938200355,,8550,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,3.5,20260210,False,0.18390409279829564,0.0,2828.622126020491,,6323,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,3.5,20260211,False,0.21382030552555206,0.0,1391.965332441032,,4172,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,0.5,20260210,True,0.025336414320389557,0.0,6472.1220368519425,,11328,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,0.5,20260211,True,0.0373273889390922,0.0,3827.6536567136645,,11364,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,1.5,20260210,True,0.05843785809286045,0.0,363.86870313435793,,856,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,1.5,20260211,True,0.08430216574929023,0.0,3406.0588562861085,,8550,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,2.5,20260210,True,0.1417994166756349,0.0,3708.414053544402,,8162,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,2.5,20260211,False,0.15181950772882147,0.0,3521.982615813613,,7564,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,0.5,20260210,True,0.02871593467250162,0.0,4407.15978294611,,7556,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,0.5,20260211,True,0.03522510332443528,0.0,3732.2024293243885,,9598,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,1.5,20260210,True,0.08121818826191816,0.0,3580.1638001576066,,8222,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,1.5,20260211,True,0.09169202504497721,0.0,2888.129803352058,,6716,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,2.5,20260210,True,0.14752621575698055,0.0,3690.2526458725333,,8622,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,2.5,20260211,False,0.1529149897348035,0.0,41.865160688757896,,64,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,0.5,20260210,True,0.019199433928722334,0.0,1735.4918429628015,,4611,,,baseline_extrap_nn_gpu,250.0,3.0
baseline,0.5,20260211,True,0.03694848554813512,0.0,1179.452145472169,,4328,,,baseline_extrap_nn_gpu,250.0,3.0
baseline,1.5,20260210,True,0.0898148843777974,0.0,562.8765765577555,,1784,,,baseline_extrap_nn_gpu,250.0,3.0
