pitch_um,focal_mm,baseline_sr,baseline_rmse,baseline_dr,baseline_n,asm_sr,asm_rmse,asm_dr,asm_n,delta_sr,rmse_gain,range_gain,pass_14x
100.0,3.0,0.8888888888888888,0.04761967513071565,1.5,9,1.0,6.806493739943405e-05,23.5,72,0.11111111111111116,0.04755161019331621,15.666666666666666,True
100.0,4.0,0.8888888888888888,0.05915729259899901,1.5,9,1.0,0.0004527001571570388,23.5,72,0.11111111111111116,0.05870459244184197,15.666666666666666,True
100.0,5.0,0.8888888888888888,0.060430558404350666,1.5,9,1.0,0.0021794661270589126,23.5,72,0.11111111111111116,0.058251092277291756,15.666666666666666,True
100.0,6.0,0.8888888888888888,0.06597799602510043,1.5,9,1.0,0.005703544824145854,23.5,72,0.11111111111111116,0.06027445120095458,15.666666666666666,True
100.0,8.0,0.8888888888888888,0.07075835475922815,1.5,9,0.9841269841269841,0.010846106355146032,19.5,63,0.09523809523809523,0.059912248404082116,13.0,False
100.0,10.0,0.8888888888888888,0.07093853048576008,1.5,9,0.9649122807017544,0.015395056782313765,17.5,57,0.07602339181286555,0.05554347370344632,11.666666666666666,False
100.0,12.0,0.8888888888888888,0.07165567287573651,1.5,9,0.9583333333333334,0.013278462721751046,14.5,48,0.06944444444444453,0.05837721015398547,9.666666666666666,False
120.0,3.0,0.8888888888888888,0.04786682495666934,1.5,9,1.0,0.00011164526041697881,23.5,72,0.11111111111111116,0.04775517969625236,15.666666666666666,True
120.0,4.0,0.8888888888888888,0.057935246933150504,1.5,9,1.0,0.0006574682704249097,23.5,72,0.11111111111111116,0.05727777866272559,15.666666666666666,True
120.0,5.0,0.8888888888888888,0.059648455970273365,1.5,9,1.0,0.0026572352398468646,23.5,72,0.11111111111111116,0.0569912207304265,15.666666666666666,True
120.0,6.0,0.8888888888888888,0.06613461141789345,1.5,9,1.0,0.007954200836366209,23.5,72,0.11111111111111116,0.058180410581527245,15.666666666666666,True
120.0,8.0,0.8888888888888888,0.0678811829478534,1.5,9,0.9833333333333333,0.01001652415462215,18.5,60,0.09444444444444444,0.05786465879323126,12.333333333333334,False
120.0,10.0,0.8888888888888888,0.07064234978233301,1.5,9,0.9791666666666666,0.00753977025775464,14.5,48,0.09027777777777779,0.06310257952457837,9.666666666666666,False
120.0,12.0,0.8888888888888888,0.07120525593790007,1.5,9,0.9761904761904762,0.010403628753373858,12.5,42,0.08730158730158732,0.06080162718452621,8.333333333333334,False
150.0,3.0,0.75,0.07331028134697287,2.5,12,1.0,0.0001490565657237435,23.5,72,0.25,0.07316122478124913,9.4,False
150.0,4.0,0.8888888888888888,0.06973555074419424,1.5,9,1.0,0.0008158069999326621,23.5,72,0.11111111111111116,0.06891974374426157,15.666666666666666,True
150.0,5.0,0.8888888888888888,0.06864613828486177,1.5,9,1.0,0.004099481395648885,23.5,72,0.11111111111111116,0.06454665688921288,15.666666666666666,True
150.0,6.0,0.8888888888888888,0.07492392492142799,1.5,9,1.0,0.011876302357813426,23.5,72,0.11111111111111116,0.06304762256361457,15.666666666666666,True
150.0,8.0,0.8888888888888888,0.07486363970777402,1.5,9,0.9833333333333333,0.014511019676728229,18.5,60,0.09444444444444444,0.06035262003104579,12.333333333333334,False
150.0,10.0,0.75,0.08357107214391704,2.5,12,0.9791666666666666,0.011489720642280024,14.5,48,0.22916666666666663,0.07208135150163701,5.8,False
150.0,12.0,0.8888888888888888,0.07513910325038048,1.5,9,0.9523809523809523,0.010349555207307518,12.5,42,0.06349206349206349,0.06478954804307296,8.333333333333334,False
180.0,3.0,0.75,0.07814792117692118,2.5,12,1.0,0.00020057181374441636,23.5,72,0.25,0.07794734936317677,9.4,False
180.0,4.0,0.75,0.08103262873782928,2.5,12,1.0,0.0012194132259047573,23.5,72,0.25,0.07981321551192452,9.4,False
180.0,5.0,0.8888888888888888,0.0716247361004876,1.5,9,1.0,0.007254454240588683,23.5,72,0.11111111111111116,0.06437028185989892,15.666666666666666,True
180.0,6.0,0.7777777777777778,0.06270482583445926,1.5,9,0.9848484848484849,0.009676047344013484,20.5,66,0.20707070707070707,0.05302877849044577,13.666666666666666,False
180.0,8.0,0.8888888888888888,0.07530532749723737,1.5,9,0.9649122807017544,0.01442616057250185,17.5,57,0.07602339181286555,0.060879166924735516,11.666666666666666,False
180.0,10.0,0.8888888888888888,0.07708920323486268,1.5,9,0.9583333333333334,0.01415728045537912,14.5,48,0.06944444444444453,0.06293192277948356,9.666666666666666,False
